!CSV A.01.01
!Agilent Technologies,N5241A,MY52411522,A.09.90.11
!Agilent N5241A: A.09.90.11
!Date: Sunday, March 11, 2018 12:35:01
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),T-Eff(REAL),T-Eff(IMAG)
20000000,444.55289,0
29900000,518.89771,0
39800000,565.14703,0
49700000,533.86798,0
59600000,427.59076,0
69500000,295.54987,0
79400000,254.18542,0
89300000,357.80783,0
99200000,429.4614,0
109100000,483.97055,0
119000000,495.61682,0
128900000,437.95642,0
138800000,344.97867,0
148700000,265.55411,0
158600000,244.04726,0
168500000,285.19165,0
178400000,346.28296,0
188300000,420.13116,0
198200000,425.03864,0
208100000,374.0274,0
218000000,274.05173,0
227900000,227.9984,0
237800000,224.42268,0
247700000,282.80295,0
257600000,344.18707,0
267500000,375.32373,0
277400000,348.88815,0
287300000,297.29626,0
297200000,263.44901,0
307100000,213.98393,0
317000000,223.44208,0
326900000,272.4118,0
336800000,282.88757,0
346700000,318.72949,0
356600000,309.75388,0
366500000,264.8454,0
376400000,219.76616,0
386300000,190.75996,0
396200000,193.69833,0
406100000,234.88164,0
416000000,253.12927,0
425900000,252.81335,0
435800000,243.96667,0
445700000,195.45215,0
455600000,180.77222,0
465500000,185.89423,0
475400000,196.37279,0
485300000,220.60895,0
495200000,251.31354,0
505100000,218.9592,0
515000000,225.12827,0
524900000,198.35739,0
534800000,173.87883,0
544700000,170.12018,0
554600000,180.12662,0
564500000,182.43864,0
574400000,196.1636,0
584300000,201.05824,0
594200000,195.97189,0
604100000,173.6521,0
614000000,150.68187,0
623900000,155.16023,0
633800000,162.83154,0
643700000,186.62975,0
653600000,179.54797,0
663500000,182.27106,0
673400000,168.05023,0
683300000,157.66656,0
693200000,151.32616,0
703100000,151.16493,0
713000000,165.41837,0
722900000,162.16695,0
732800000,165.29381,0
742700000,156.37852,0
752600000,157.4415,0
762500000,148.03816,0
772400000,143.12958,0
782300000,141.96001,0
792200000,145.53076,0
802100000,146.12415,0
812000000,158.36006,0
821900000,157.67401,0
831800000,140.35443,0
841700000,137.28922,0
851600000,138.022,0
861500000,151.72658,0
871400000,144.65181,0
881300000,151.60779,0
891200000,145.48602,0
901100000,145.94612,0
911000000,147.66212,0
920900000,141.9568,0
930800000,141.34544,0
940700000,184.85335,0
950600000,239.8273,0
960500000,147.98798,0
970400000,141.25839,0
980300000,145.16367,0
990200000,136.87184,0
1000100000,138.13243,0
1010000000,140.40981,0
1019900000,140.74564,0
1029800000,135.57394,0
1039700000,145.96111,0
1049600000,140.43408,0
1059500000,144.12103,0
1069400000,145.25005,0
1079300000,145.14201,0
1089200000,149.53453,0
1099100000,142.86011,0
1109000000,144.03214,0
1118900000,144.77945,0
1128800000,142.64973,0
1138700000,149.08009,0
1148600000,144.21968,0
1158500000,147.29668,0
1168400000,146.96509,0
1178300000,138.73357,0
1188200000,137.35327,0
1198100000,143.64043,0
1208000000,134.16516,0
1217900000,143.90195,0
1227800000,161.93094,0
1237700000,162.71394,0
1247600000,148.8248,0
1257500000,141.06987,0
1267400000,143.96814,0
1277300000,138.11406,0
1287200000,140.25224,0
1297100000,152.47884,0
1307000000,164.34363,0
1316900000,159.17131,0
1326800000,150.82095,0
1336700000,148.88985,0
1346600000,137.51259,0
1356500000,134.92244,0
1366400000,139.24185,0
1376300000,154.98854,0
1386200000,156.94258,0
1396100000,158.03209,0
1406000000,160.1628,0
1415900000,144.07457,0
1425800000,137.11418,0
1435700000,140.59372,0
1445600000,148.1205,0
1455500000,165.82861,0
1465400000,168.03418,0
1475300000,174.08101,0
1485200000,161.53996,0
1495100000,146.47655,0
1505000000,142.24185,0
1514900000,147.62172,0
1524800000,156.05043,0
1534700000,165.05641,0
1544600000,169.41718,0
1554500000,169.39684,0
1564400000,164.76187,0
1574300000,155.05312,0
1584200000,152.45023,0
1594100000,151.53505,0
1604000000,164.75424,0
1613900000,175.80373,0
1623800000,189.38972,0
1633700000,178.07162,0
1643600000,166.72485,0
1653500000,150.69189,0
1663400000,151.43704,0
1673300000,149.65025,0
1683200000,175.68803,0
1693100000,195.26787,0
1703000000,210.30434,0
1712900000,205.14723,0
1722800000,178.50897,0
1732700000,159.53339,0
1742600000,151.93709,0
1752500000,163.28333,0
1762400000,178.10951,0
1772300000,203.20511,0
1782200000,211.12611,0
1792100000,198.24873,0
1802000000,184.19418,0
1811900000,193.2155,0
1821800000,196.50278,0
1831700000,303.0657,0
1841600000,194.24228,0
1851500000,238.3176,0
1861400000,232.47687,0
1871300000,211.88536,0
1881200000,186.15134,0
1891100000,183.24655,0
1901000000,170.0923,0
1910900000,182.95178,0
1920800000,198.55521,0
1930700000,236.34866,0
1940600000,235.91681,0
1950500000,225.26431,0
1960400000,202.34106,0
1970300000,191.76555,0
1980200000,186.22069,0
1990100000,194.72,0
2000000000,214.08722,0
END

