!CSV A.01.01
!Agilent Technologies,N5241A,MY52411522,A.09.90.11
!Agilent N5241A: A.09.90.11
!Date: Sunday, March 11, 2018 12:04:22
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(DB),S22(DEG)
20000000,-1.965183,-171.89523
29900000,-1.1108321,163.06621
39800000,-0.88927984,143.08415
49700000,-0.85000896,126.68459
59600000,-0.87157357,112.60148
69500000,-0.92306513,100.29364
79400000,-0.97691482,89.452171
89300000,-1.0330777,79.789612
99200000,-1.0857886,71.071587
109100000,-1.1308595,63.181694
119000000,-1.1735004,56.042431
128900000,-1.2109275,49.492485
138800000,-1.2461542,43.454124
148700000,-1.2760211,37.856907
158600000,-1.3043393,32.62487
168500000,-1.3270395,27.716888
178400000,-1.348141,23.096365
188300000,-1.367628,18.744282
198200000,-1.3812164,14.579371
208100000,-1.3950183,10.607031
218000000,-1.4102606,6.8246288
227900000,-1.4218196,3.1811018
237800000,-1.4335152,-0.31159139
247700000,-1.4468448,-3.6903687
257600000,-1.4548843,-6.9519629
267500000,-1.468419,-10.118655
277400000,-1.4783576,-13.188066
287300000,-1.4863393,-16.161573
297200000,-1.4967196,-19.077108
307100000,-1.506704,-21.904171
317000000,-1.5192471,-24.708702
326900000,-1.525882,-27.432413
336800000,-1.5360267,-30.101351
346700000,-1.5457685,-32.746288
356600000,-1.5557506,-35.33514
366500000,-1.5666574,-37.923859
376400000,-1.5816764,-40.449352
386300000,-1.5899289,-42.970634
396200000,-1.6028609,-45.438698
406100000,-1.6127965,-47.911243
416000000,-1.6219059,-50.351097
425900000,-1.6315273,-52.757465
435800000,-1.6427772,-55.145973
445700000,-1.6525002,-57.527084
455600000,-1.6659747,-59.846657
465500000,-1.6738472,-62.178158
475400000,-1.6861122,-64.468857
485300000,-1.6985542,-66.733864
495200000,-1.7086664,-68.98082
505100000,-1.7170272,-71.182083
515000000,-1.731481,-73.388649
524900000,-1.7436316,-75.56884
534800000,-1.7598602,-77.755127
544700000,-1.7744775,-79.916267
554600000,-1.7848127,-82.073006
564500000,-1.7984446,-84.229469
574400000,-1.8135558,-86.364777
584300000,-1.8266503,-88.502426
594200000,-1.8371389,-90.660332
604100000,-1.8546762,-92.792572
614000000,-1.8692906,-94.926399
623900000,-1.8822033,-97.025604
633800000,-1.8964303,-99.143639
643700000,-1.9115144,-101.27132
653600000,-1.9244342,-103.3688
663500000,-1.9356571,-105.4603
673400000,-1.9472791,-107.5402
683300000,-1.9625012,-109.58781
693200000,-1.9703652,-111.65811
703100000,-1.9885243,-113.72564
713000000,-2.0001612,-115.77358
722900000,-2.014868,-117.80431
732800000,-2.0325298,-119.83832
742700000,-2.0425861,-121.83591
752600000,-2.056628,-123.8761
762500000,-2.0732868,-125.87774
772400000,-2.0879123,-127.91766
782300000,-2.0995188,-129.91348
792200000,-2.1150587,-131.93533
802100000,-2.1275465,-133.95255
812000000,-2.1420045,-135.98352
821900000,-2.1578364,-137.99939
831800000,-2.1696978,-140.02171
841700000,-2.1847858,-142.03951
851600000,-2.1954875,-144.05045
861500000,-2.2081997,-146.06345
871400000,-2.2216561,-148.07086
881300000,-2.2339382,-150.11545
891200000,-2.2458913,-152.09518
901100000,-2.2560432,-154.09439
911000000,-2.2719517,-156.03838
920900000,-2.2832544,-158.01161
930800000,-2.2972414,-160.00916
940700000,-2.3111215,-161.98441
950600000,-2.3236928,-163.95702
960500000,-2.3335021,-165.90303
970400000,-2.3486068,-167.87645
980300000,-2.3606668,-169.83997
990200000,-2.3729434,-171.83763
1000100000,-2.3834043,-173.78925
1010000000,-2.394556,-175.77396
1019900000,-2.4078758,-177.72351
1029800000,-2.4184144,-179.68965
1039700000,-2.431123,178.3522
1049600000,-2.4451942,176.37044
1059500000,-2.4575219,174.41733
1069400000,-2.464817,172.41495
1079300000,-2.478595,170.47293
1089200000,-2.486352,168.52687
1099100000,-2.5001068,166.55534
1109000000,-2.5112007,164.58736
1118900000,-2.5247843,162.62431
1128800000,-2.5303197,160.70296
1138700000,-2.5422974,158.76711
1148600000,-2.5519905,156.83804
1158500000,-2.5631168,154.91104
1168400000,-2.5751288,152.95412
1178300000,-2.5852728,150.99464
1188200000,-2.5986342,149.0766
1198100000,-2.6088529,147.1331
1208000000,-2.618711,145.23254
1217900000,-2.6294632,143.29539
1227800000,-2.6440918,141.35275
1237700000,-2.6563883,139.43906
1247600000,-2.6654892,137.49693
1257500000,-2.6777484,135.57048
1267400000,-2.6902092,133.66426
1277300000,-2.703649,131.75359
1287200000,-2.7190609,129.83562
1297100000,-2.7309997,127.9297
1307000000,-2.7416263,126.06154
1316900000,-2.7564013,124.20798
1326800000,-2.770375,122.34341
1336700000,-2.7809987,120.4771
1346600000,-2.7928076,118.6153
1356500000,-2.8045099,116.7615
1366400000,-2.8157477,114.96222
1376300000,-2.8243492,113.17024
1386200000,-2.8240292,111.34074
1396100000,-2.8302567,109.50469
1406000000,-2.8333609,107.64778
1415900000,-2.8432922,105.80722
1425800000,-2.8516769,103.99123
1435700000,-2.8533957,102.12096
1445600000,-2.8562229,100.26638
1455500000,-2.8651049,98.410896
1465400000,-2.8688748,96.48468
1475300000,-2.8681691,94.62809
1485200000,-2.8733299,92.802635
1495100000,-2.8776963,90.918991
1505000000,-2.8814847,89.021851
1514900000,-2.8894155,87.166168
1524800000,-2.9017713,85.257317
1534700000,-2.9092796,83.394104
1544600000,-2.9159086,81.531075
1554500000,-2.9259748,79.603218
1564400000,-2.9370577,77.701744
1574300000,-2.9568934,75.713066
1584200000,-2.9913723,73.605255
1594100000,-3.0706048,71.439972
1604000000,-3.2421176,69.569038
1613900000,-3.4095788,69.240463
1623800000,-3.2868013,68.720345
1633700000,-3.1686234,67.018059
1643600000,-3.1165171,65.061256
1653500000,-3.0901651,63.120991
1663400000,-3.0846131,61.234375
1673300000,-3.0774674,59.371433
1683200000,-3.0719166,57.563442
1693100000,-3.0770466,55.702293
1703000000,-3.0743511,53.892353
1712900000,-3.0817471,52.118408
1722800000,-3.0887816,50.331074
1732700000,-3.090605,48.569191
1742600000,-3.0973873,46.834663
1752500000,-3.1027865,45.075474
1762400000,-3.1118727,43.301434
1772300000,-3.1168046,41.602291
1782200000,-3.1236587,39.908958
1792100000,-3.1373575,38.152756
1802000000,-3.1359732,36.404648
1811900000,-3.1452966,34.660858
1821800000,-3.1524568,32.901672
1831700000,-3.1624768,31.19735
1841600000,-3.1695526,29.508091
1851500000,-3.1770396,27.739292
1861400000,-3.1766729,26.044846
1871300000,-3.1794555,24.329861
1881200000,-3.1886706,22.595455
1891100000,-3.1944621,20.819201
1901000000,-3.197252,19.120129
1910900000,-3.1956809,17.44581
1920800000,-3.2029543,15.772917
1930700000,-3.206249,13.996052
1940600000,-3.2095842,12.273436
1950500000,-3.2145653,10.522543
1960400000,-3.2189181,8.8294449
1970300000,-3.2258625,7.1058216
1980200000,-3.225163,5.4243393
1990100000,-3.2372866,3.7030199
2000000000,-3.2435074,1.962041
END

