!CSV A.01.01
!Agilent Technologies,N5241A,MY52411522,A.09.90.11
!Agilent N5241A: A.09.90.11
!Date: Sunday, March 11, 2018 12:33:53
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),NF(DB),NF(DEG)
20000000,4.0875497,0
29900000,4.4519482,0
39800000,4.6995196,0
49700000,4.4903831,0
59600000,3.9471288,0
69500000,3.0561666,0
79400000,2.6867485,0
89300000,3.4453127,0
99200000,3.9729702,0
109100000,4.2337394,0
119000000,4.3026872,0
128900000,4.0032411,0
138800000,3.4081655,0
148700000,2.8101292,0
158600000,2.5936577,0
168500000,2.9968305,0
178400000,3.4293351,0
188300000,3.8802829,0
198200000,3.8992004,0
208100000,3.6341994,0
218000000,2.935214,0
227900000,2.5237608,0
237800000,2.4941781,0
247700000,2.9403036,0
257600000,3.4453413,0
267500000,3.6128521,0
277400000,3.4553089,0
287300000,3.0878525,0
297200000,2.8221662,0
307100000,2.4095671,0
317000000,2.4586766,0
326900000,2.8153908,0
336800000,2.991189,0
346700000,3.2096963,0
356600000,3.1413584,0
366500000,2.8389289,0
376400000,2.45227,0
386300000,2.1866858,0
396200000,2.2270052,0
406100000,2.5336423,0
416000000,2.7134933,0
425900000,2.7649021,0
435800000,2.6502042,0
445700000,2.2388401,0
455600000,2.0834439,0
465500000,2.1549046,0
475400000,2.1913557,0
485300000,2.4738319,0
495200000,2.5763628,0
505100000,2.3992689,0
515000000,2.4817545,0
524900000,2.2611699,0
534800000,2.0326092,0
544700000,2.0065405,0
554600000,2.0792696,0
564500000,2.1227827,0
574400000,2.2361472,0
584300000,2.2589211,0
594200000,2.2247446,0
604100000,2.0407791,0
614000000,1.7994527,0
623900000,1.859643,0
633800000,1.9320393,0
643700000,2.1177619,0
653600000,2.0762153,0
663500000,2.1372166,0
673400000,1.9955491,0
683300000,1.9234149,0
693200000,1.8107241,0
703100000,1.7948374,0
713000000,1.9484915,0
722900000,1.9615144,0
732800000,1.9382814,0
742700000,1.8884107,0
752600000,1.8746611,0
762500000,1.8175724,0
772400000,1.7567819,0
782300000,1.7243834,0
792200000,1.7949185,0
802100000,1.817903,0
812000000,1.9091008,0
821900000,1.8154337,0
831800000,1.7186164,0
841700000,1.667295,0
851600000,1.6991849,0
861500000,1.8089392,0
871400000,1.7777809,0
881300000,1.8059695,0
891200000,1.7502189,0
901100000,1.7911944,0
911000000,1.7736456,0
920900000,1.7325107,0
930800000,1.6999494,0
940700000,2.64925,0
950600000,3.08131,0
960500000,1.870283,0
970400000,1.7265861,0
980300000,1.7353058,0
990200000,1.6619875,0
1000100000,1.7037131,0
1010000000,1.7183048,0
1019900000,1.6706841,0
1029800000,1.6322913,0
1039700000,1.7549267,0
1049600000,1.7063596,0
1059500000,1.7220883,0
1069400000,1.7509679,0
1079300000,1.7659932,0
1089200000,1.8502395,0
1099100000,1.738326,0
1109000000,1.7753798,0
1118900000,1.7229286,0
1128800000,1.7247193,0
1138700000,1.7750447,0
1148600000,1.7235981,0
1158500000,1.7952887,0
1168400000,1.7771187,0
1178300000,1.7011551,0
1188200000,1.6949157,0
1198100000,1.7346804,0
1208000000,1.6831771,0
1217900000,1.7565467,0
1227800000,1.8810256,0
1237700000,1.9231037,0
1247600000,1.8378508,0
1257500000,1.714318,0
1267400000,1.7756443,0
1277300000,1.7360293,0
1287200000,1.7615221,0
1297100000,1.8512132,0
1307000000,1.9046214,0
1316900000,1.9033232,0
1326800000,1.8109337,0
1336700000,1.7748586,0
1346600000,1.6734643,0
1356500000,1.6475133,0
1366400000,1.7230209,0
1376300000,1.8356699,0
1386200000,1.8734586,0
1396100000,1.9012699,0
1406000000,1.9438777,0
1415900000,1.7413412,0
1425800000,1.6755937,0
1435700000,1.735046,0
1445600000,1.7781289,0
1455500000,1.9726933,0
1465400000,2.0426075,0
1475300000,1.995015,0
1485200000,1.8995529,0
1495100000,1.8148696,0
1505000000,1.7922086,0
1514900000,1.7797505,0
1524800000,1.8381661,0
1534700000,1.9596492,0
1544600000,1.9746507,0
1554500000,1.9555678,0
1564400000,1.9410297,0
1574300000,1.8531433,0
1584200000,1.8594109,0
1594100000,1.80887,0
1604000000,1.9280225,0
1613900000,2.0689211,0
1623800000,2.1425765,0
1633700000,2.0979178,0
1643600000,1.9349148,0
1653500000,1.8144397,0
1663400000,1.8593464,0
1673300000,1.782449,0
1683200000,2.0726378,0
1693100000,2.2258463,0
1703000000,2.3785667,0
1712900000,2.3342607,0
1722800000,6.1951823,0
1732700000,3.4483757,0
1742600000,1.8605649,0
1752500000,1.9496783,0
1762400000,2.0275576,0
1772300000,2.289319,0
1782200000,2.4098608,0
1792100000,2.2309647,0
1802000000,2.1709929,0
1811900000,2.2649915,0
1821800000,2.2886534,0
1831700000,2.9129825,0
1841600000,2.2313466,0
1851500000,2.7456787,0
1861400000,2.5443397,0
1871300000,2.3254495,0
1881200000,2.122844,0
1891100000,2.1323571,0
1901000000,1.9854342,0
1910900000,2.1743753,0
1920800000,2.3008921,0
1930700000,2.6020615,0
1940600000,2.6072197,0
1950500000,2.4723253,0
1960400000,2.3015912,0
1970300000,2.2191231,0
1980200000,2.152957,0
1990100000,2.257194,0
2000000000,2.3994691,0
END

