!CSV A.01.01
!Agilent Technologies,N5241A,MY52411522,A.09.90.11
!Agilent N5241A: A.09.90.11
!Date: Sunday, March 11, 2018 12:01:33
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
20000000,9.2497511,-137.52788
29900000,14.956215,-117.39608
39800000,18.625576,-123.92608
49700000,20.724709,-132.93768
59600000,22.166637,-141.97856
69500000,23.090328,-150.04089
79400000,23.834135,-157.17569
89300000,24.301987,-164.65927
99200000,24.687279,-170.98643
109100000,24.969503,-176.9129
119000000,25.152288,177.54399
128900000,25.300253,172.06927
138800000,25.385817,166.85419
148700000,25.479237,161.85452
158600000,25.463528,157.37921
168500000,25.506044,153.03802
178400000,25.555338,148.8636
188300000,25.510382,144.48024
198200000,25.506384,140.54796
208100000,25.468596,136.70633
218000000,25.390188,132.78307
227900000,25.353758,129.23735
237800000,25.250687,125.87376
247700000,25.18597,122.04698
257600000,25.08058,118.96757
267500000,25.058607,115.38022
277400000,24.965141,112.15517
287300000,24.893137,109.12495
297200000,24.793503,105.77935
307100000,24.671654,102.47149
317000000,24.618557,99.493317
326900000,24.505793,96.812103
336800000,24.403976,93.758682
346700000,24.325878,91.053146
356600000,24.156311,88.073799
366500000,24.098341,84.997169
376400000,23.977329,82.203201
386300000,23.884897,79.470856
396200000,23.734894,76.72036
406100000,23.688269,74.020149
416000000,23.603277,71.564232
425900000,23.448528,68.771477
435800000,23.357496,66.113762
445700000,23.29141,63.853874
455600000,23.138,60.960403
465500000,23.054541,58.304798
475400000,22.927767,55.920185
485300000,22.840134,53.392361
495200000,22.723742,50.7868
505100000,22.622213,48.635906
515000000,22.495306,46.073433
524900000,22.37612,43.759563
534800000,22.284676,41.193764
544700000,22.195824,38.83456
554600000,22.058449,36.476074
564500000,21.973,34.214981
574400000,21.883562,31.758699
584300000,21.774755,29.578083
594200000,21.697033,27.200464
604100000,21.584217,24.984364
614000000,21.472549,22.630198
623900000,21.371199,20.354076
633800000,21.267618,18.115553
643700000,21.178946,15.84867
653600000,21.07304,13.678202
663500000,20.965136,11.489411
673400000,20.888474,9.1470146
683300000,20.741819,7.0061584
693200000,20.707518,5.0750256
703100000,20.587049,2.6391258
713000000,20.496428,0.62790364
722900000,20.405462,-1.6890379
732800000,20.28648,-3.885159
742700000,20.211802,-5.8033643
752600000,20.116755,-7.9634013
762500000,20.014082,-10.139915
772400000,19.934574,-12.247782
782300000,19.827225,-14.327155
792200000,19.726339,-16.584011
802100000,19.651268,-18.532854
812000000,19.567673,-20.59691
821900000,19.450281,-22.672239
831800000,19.367805,-24.71167
841700000,19.285688,-26.979349
851600000,19.197447,-28.866442
861500000,19.120672,-30.998287
871400000,19.014273,-32.934364
881300000,18.938074,-34.975311
891200000,18.848978,-37.03944
901100000,18.777328,-39.188515
911000000,18.676657,-41.092587
920900000,18.592855,-43.117119
930800000,18.511469,-45.21944
940700000,18.41436,-47.195992
950600000,18.346712,-49.226513
960500000,18.258787,-51.129082
970400000,18.167175,-53.349728
980300000,18.082346,-55.204792
990200000,18.00462,-57.269291
1000100000,17.921671,-59.233608
1010000000,17.86517,-61.213295
1019900000,17.754742,-63.196819
1029800000,17.683315,-65.182404
1039700000,17.604328,-67.233757
1049600000,17.508848,-69.221237
1059500000,17.431641,-71.106392
1069400000,17.369619,-73.140984
1079300000,17.267672,-75.158539
1089200000,17.202423,-77.135597
1099100000,17.110176,-79.070137
1109000000,17.036652,-80.910767
1118900000,16.969543,-83.042458
1128800000,16.883495,-84.827667
1138700000,16.806118,-86.851662
1148600000,16.717983,-88.816681
1158500000,16.662146,-90.68
1168400000,16.552393,-92.634254
1178300000,16.500828,-94.610535
1188200000,16.402,-96.664719
1198100000,16.335457,-98.393242
1208000000,16.260361,-100.33891
1217900000,16.184143,-102.40003
1227800000,16.096298,-104.26046
1237700000,16.011127,-106.03078
1247600000,15.934601,-108.17297
1257500000,15.870316,-110.01847
1267400000,15.78808,-111.89796
1277300000,15.712274,-113.76604
1287200000,15.64614,-115.6981
1297100000,15.573427,-117.60878
1307000000,15.486086,-119.48869
1316900000,15.396816,-121.32282
1326800000,15.312982,-123.25851
1336700000,15.252368,-125.06236
