!CSV A.01.01
!Agilent Technologies,N5241A,MY52411522,A.09.90.11
!Agilent N5241A: A.09.90.11
!Date: Sunday, March 11, 2018 11:59:54
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
20000000,-3.6836114,-4.274538
29900000,-3.2093563,-5.5026598
39800000,-3.2321908,-7.3551788
49700000,-3.1825435,-8.9318304
59600000,-3.2583191,-10.632572
69500000,-3.1372755,-13.394561
79400000,-3.1650155,-14.625561
89300000,-3.271126,-16.968264
99200000,-3.2847056,-18.323648
109100000,-3.303375,-20.42005
119000000,-3.3251741,-22.197128
128900000,-3.3411372,-24.168161
138800000,-3.3552253,-25.617649
148700000,-3.403578,-27.801983
158600000,-3.4759586,-29.857504
168500000,-3.4859633,-31.099771
178400000,-3.503298,-33.122463
188300000,-3.5505934,-34.607876
198200000,-3.6128547,-36.680088
208100000,-3.6444664,-38.512135
218000000,-3.6578872,-39.973099
227900000,-3.6936083,-42.300472
237800000,-3.7381172,-43.576214
247700000,-3.8275952,-44.728172
257600000,-3.8184319,-46.815395
267500000,-3.8996799,-48.86549
277400000,-3.9413726,-50.27063
287300000,-3.9729409,-51.783924
297200000,-4.0660501,-53.287209
307100000,-4.0962873,-54.317104
317000000,-4.1904044,-56.749401
326900000,-4.1593237,-58.242916
336800000,-4.1773663,-59.691326
346700000,-4.2574635,-61.39418
356600000,-4.3195491,-62.69521
366500000,-4.3741093,-64.541916
376400000,-4.3878522,-66.125542
386300000,-4.4577751,-67.696175
396200000,-4.5439363,-68.895248
406100000,-4.5389843,-70.574303
416000000,-4.5954671,-72.332031
425900000,-4.6185603,-73.36113
435800000,-4.6379294,-75.330368
445700000,-4.6639662,-76.85627
455600000,-4.7378716,-78.10495
465500000,-4.7235322,-79.74231
475400000,-4.8150334,-81.30806
485300000,-4.8912549,-82.97747
495200000,-4.9340515,-84.461517
505100000,-4.9455285,-85.908348
515000000,-4.9903269,-87.741371
524900000,-5.0611806,-88.888229
534800000,-5.0976696,-90.603996
544700000,-5.1343565,-91.819229
554600000,-5.1313896,-93.578773
564500000,-5.1842527,-95.254372
574400000,-5.2302022,-96.660034
584300000,-5.261034,-97.861053
594200000,-5.2544127,-99.860138
604100000,-5.3457336,-101.22991
614000000,-5.3820548,-102.78139
623900000,-5.4083056,-104.08106
633800000,-5.4002295,-105.64161
643700000,-5.4938612,-107.28483
653600000,-5.4967957,-108.61793
663500000,-5.5354004,-110.26855
673400000,-5.5623388,-111.81799
683300000,-5.6193371,-112.81777
693200000,-5.597652,-114.77532
703100000,-5.6781087,-116.33457
713000000,-5.6809444,-117.85624
722900000,-5.7543387,-119.33971
732800000,-5.8033199,-120.83385
742700000,-5.7694073,-122.43338
752600000,-5.8112836,-124.16623
762500000,-5.8631759,-125.4475
772400000,-5.8971591,-126.98456
782300000,-5.8758979,-128.77493
792200000,-5.9482179,-130.36635
802100000,-5.9705424,-131.88696
812000000,-5.9776731,-133.30614
821900000,-6.0229182,-135.06485
831800000,-6.0603223,-136.27594
841700000,-6.1087399,-138.09914
851600000,-6.0960321,-139.43697
861500000,-6.1525874,-140.93117
871400000,-6.1579595,-142.48221
881300000,-6.2163053,-144.51764
891200000,-6.2307177,-145.79063
901100000,-6.2752395,-147.68324
911000000,-6.2960358,-149.21828
920900000,-6.2952628,-150.58946
930800000,-6.3627524,-152.38054
940700000,-6.3880296,-153.97487
950600000,-6.3815732,-155.71274
960500000,-6.4339032,-157.27333
970400000,-6.4643764,-158.88708
980300000,-6.4863415,-160.40907
990200000,-6.5318747,-162.52002
1000100000,-6.5455618,-163.80983
1010000000,-6.5336747,-165.66835
1019900000,-6.5854464,-166.91737
1029800000,-6.6234317,-168.88562
1039700000,-6.6678109,-170.47777
1049600000,-6.6853004,-172.18674
1059500000,-6.717072,-173.46867
1069400000,-6.7238107,-175.39551
1079300000,-6.7584629,-177.15427
1089200000,-6.8010273,-178.97293
1099100000,-6.8351712,179.67442
1109000000,-6.863708,177.9919
1118900000,-6.8985872,176.24094
1128800000,-6.9223242,174.48117
1138700000,-6.9374423,172.59613
1148600000,-6.9916306,170.73045
1158500000,-7.0168366,169.11879
1168400000,-7.03613,167.4326
1178300000,-7.0691047,165.69838
1188200000,-7.0733476,164.07588
1198100000,-7.117816,162.13556
1208000000,-7.1530848,160.53928
1217900000,-7.174964,158.6734
1227800000,-7.226336,156.99071
1237700000,-7.2202802,155.48744
1247600000,-7.2336612,153.62601
1257500000,-7.2895122,151.70935
1267400000,-7.3256841,149.89531
1277300000,-7.3654861,148.09688
1287200000,-7.3514729,146.28029
1297100000,-7.4139829,144.5242
1307000000,-7.4081049,142.82114
1316900000,-7.4355564,141.04965
1326800000,-7.5139613,139.3015
1336700000,-7.513226,137.57509
1346600000,-7.536902,135.4039
1356500000,-7.5568113,133.67438
1366400000,-7.6081905,131.89336
1376300000,-7.6555471,130.00845
1386200000,-7.6431646,127.88892
1396100000,-7.653738,125.9756
1406000000,-7.6740069,124.01389
1415900000,-7.7478194,122.35648
1425800000,-7.7864804,120.77015
1435700000,-7.7754478,118.70418
1445600000,-7.8362036,116.72102
1455500000,-7.8428011,115.02605
1465400000,-7.8687201,112.90524
1475300000,-7.8791022,110.99619
1485200000,-7.8970904,109.30183
1495100000,-7.9330549,107.3359
1505000000,-7.9615955,105.30029
1514900000,-7.9838877,103.25188
1524800000,-8.0125465,101.4305
1534700000,-8.0598698,99.553337
1544600000,-8.0371428,97.558029
1554500000,-8.0764074,95.470627
1564400000,-8.072154,93.667839
1574300000,-8.1093798,91.371384
1584200000,-8.0798559,89.074165
1594100000,-8.163722,86.218864
1604000000,-8.2828989,83.584007
1613900000,-8.6333008,81.260468
1623800000,-8.7873096,81.594376
1633700000,-8.6459885,80.676117
1643600000,-8.6051207,79.157768
1653500000,-8.5442476,76.870399
1663400000,-8.5190792,75.271576
1673300000,-8.5667114,73.081062
1683200000,-8.5445108,71.186752
1693100000,-8.5543861,69.130814
1703000000,-8.5115757,67.205666
1712900000,-8.5489635,65.06916
1722800000,-8.559207,63.154312
1732700000,-8.5819702,60.99107
1742600000,-8.6571941,58.965775
1752500000,-8.5894613,56.914661
1762400000,-8.6436348,54.823887
1772300000,-8.6340694,53.202351
1782200000,-8.6423368,51.392086
1792100000,-8.7056684,49.264679
1802000000,-8.6335468,46.933559
1811900000,-8.6088915,45.035484
1821800000,-8.6536322,42.804768
1831700000,-8.6897354,40.715378
1841600000,-8.7190742,39.137375
1851500000,-8.7168074,36.562038
1861400000,-8.6958141,34.906822
1871300000,-8.647028,32.954388
1881200000,-8.7200346,30.992329
1891100000,-8.7129507,28.61305
1901000000,-8.6906853,26.547455
1910900000,-8.6877565,24.751904
1920800000,-8.7476616,22.830261
1930700000,-8.7241516,20.755779
1940600000,-8.6951637,18.729525
1950500000,-8.7153492,16.364676
1960400000,-8.7209806,14.340016
1970300000,-8.7190571,12.369823
1980200000,-8.7104301,10.417397
1990100000,-8.752512,8.8780575
2000000000,-8.7293243,6.6134772
END

